# Derived from VarCon 2020.12.07 at crate-ci/typos commit 5e38bf262baaf477ca9f241b3a7cd3d277fd7df8.
# Includes unambiguous, verified spelling pairs through SCOWL level 70. Source and target are tab-separated.
abettor	abetter
apostrophize	apostrophise
apostrophized	apostrophised
apostrophizes	apostrophises
apostrophizing	apostrophising
apotheosize	apotheosise
apotheosized	apotheosised
apotheosizes	apotheosises
apotheosizing	apotheosising
appall	appal
appalls	appals
appareled	apparelled
appareling	apparelling
appetize	appetise
appetized	appetised
appetizer	appetiser
appetizer's	appetiser's
appetizers	appetisers
appetizes	appetises
appetizing	appetising
appetizingly	appetisingly
arbor	arbour
arbor's	arbour's
arbores	arboures
arborization	arborisation
arborization's	arborisation's
arborizations	arborisations
arbors	arbours
archaize	archaise
archaized	archaised
archaizes	archaises
archaizing	archaising
ardor	ardour
ardor's	ardour's
ardors	ardours
armor	armour
armor's	armour's
armored	armoured
armorer	armourer
armorer's	armourer's
armorers	armourers
armories	armouries
armoring	armouring
armors	armours
armory	armoury
armory's	armoury's
aromatize	aromatise
aromatized	aromatised
aromatizes	aromatises
aromatizing	aromatising
arterialize	arterialise
arterialized	arterialised
arterializes	arterialises
arterializing	arterialising
artifact	artefact
artifact's	artefact's
artifacts	artefacts
asafetida	asafoetida
asafetida's	asafoetida's
asafetidas	asafoetidas
asshole	arsehole
asshole's	arsehole's
assholes	arseholes
atomization	atomisation
atomization's	atomisation's
atomizations	atomisations
atomize	atomise
atomized	atomised
atomizer	atomiser
atomizer's	atomiser's
atomizers	atomisers
atomizes	atomises
atomizing	atomising
attitudinize	attitudinise
attitudinized	attitudinised
attitudinizes	attitudinises
attitudinizing	attitudinising
attitudinizings	attitudinisings
authorization	authorisation
authorization's	authorisation's
authorizations	authorisations
authorize	authorise
authorized	authorised
authorizes	authorises
authorizing	authorising
automatization	automatisation
automatization's	automatisation's
automatizations	automatisations
automatize	automatise
automatized	automatised
automatizes	automatises
automatizing	automatising
ax	axe
ax's	axe's
balk	baulk
balk's	baulk's
balkanize	balkanise
balkanized	balkanised
balkanizes	balkanises
balkanizing	balkanising
balked	baulked
balking	baulking
balks	baulks
baptize	baptise
baptized	baptised
baptizer	baptiser
baptizer's	baptiser's
baptizers	baptisers
baptizes	baptises
baptizing	baptising
barbarization	barbarisation
barbarization's	barbarisation's
barbarizations	barbarisations
barbarize	barbarise
barbarized	barbarised
barbarizes	barbarises
barbarizing	barbarising
barreled	barrelled
barreling	barrelling
bastardization	bastardisation
bastardization's	bastardisation's
bastardizations	bastardisations
bastardize	bastardise
bastardized	bastardised
bastardizes	bastardises
bastardizing	bastardising
bedeviled	bedevilled
bedeviling	bedevilling
behavior	behaviour
behavior's	behaviour's
behavioral	behavioural
behavioraler	behaviouraler
behavioralest	behaviouralest
behaviorally	behaviourally
behaviorism	behaviourism
behaviorism's	behaviourism's
behaviorisms	behaviourisms
behaviorist	behaviourist
behaviorist's	behaviourist's
behavioristic	behaviouristic
behavioristicer	behaviouristicer
behavioristicest	behaviouristicest
behavioristics	behaviouristics
behaviorists	behaviourists
behaviors	behaviours
behoove	behove
behoove's	behove's
behooved	behoved
behooves	behoves
behooving	behoving
behooving's	behoving's
behoovings	behovings
bejeweled	bejewelled
bejeweling	bejewelling
belabor	belabour
belabor's	belabour's
belabored	belaboured
belaboring	belabouring
belabors	belabours
beveled	bevelled
beveler	beveller
beveler's	beveller's
bevelers	bevellers
beveling	bevelling
bevelings	bevellings
bister	bistre
bister's	bistre's
bisters	bistres
blamable	blameable
blowzier	blowsier
blowziest	blowsiest
blowzy	blowsy
botanize	botanise
botanized	botanised
botanizes	botanises
botanizing	botanising
bowdlerization	bowdlerisation
bowdlerization's	bowdlerisation's
bowdlerizations	bowdlerisations
bowdlerize	bowdlerise
bowdlerized	bowdlerised
bowdlerizes	bowdlerises
bowdlerizing	bowdlerising
breathalyze	breathalyse
breathalyzed	breathalysed
breathalyzer	breathalyser
breathalyzer's	breathalyser's
breathalyzers	breathalysers
breathalyzes	breathalyses
breathalyzing	breathalysing
brier	briar
brier's	briar's
briers	briars
brutalization	brutalisation
brutalization's	brutalisation's
brutalizations	brutalisations
brutalize	brutalise
brutalized	brutalised
brutalizes	brutalises
brutalizing	brutalising
bureaucratization	bureaucratisation
bureaucratization's	bureaucratisation's
bureaucratizations	bureaucratisations
bureaucratize	bureaucratise
bureaucratized	bureaucratised
bureaucratizes	bureaucratises
bureaucratizing	bureaucratising
burglarize	burglarise
burglarized	burglarised
burglarizes	burglarises
burglarizing	burglarising
bused	bussed
busing	bussing
busing's	bussing's
busings	bussings
caftan	kaftan
caftan's	kaftan's
caftans	kaftans
caliber	calibre
caliber's	calibre's
calibers	calibres
calk	caulk
calk's	caulk's
calked	caulked
calking	caulking
calks	caulks
canalization	canalisation
canalization's	canalisation's
canalizations	canalisations
canalize	canalise
canalized	canalised
canalizes	canalises
canalizing	canalising
canceled	cancelled
canceler	canceller
canceler's	canceller's
cancelers	cancellers
canceling	cancelling
candor	candour
candor's	candour's
candors	candours
cannibalization	cannibalisation
cannibalization's	cannibalisation's
cannibalizations	cannibalisations
cannibalize	cannibalise
cannibalized	cannibalised
cannibalizes	cannibalises
cannibalizing	cannibalising
canonization	canonisation
canonization's	canonisation's
canonizations	canonisations
canonize	canonise
canonized	canonised
canonizes	canonises
canonizing	canonising
capitalization	capitalisation
capitalization's	capitalisation's
capitalizations	capitalisations
capitalize	capitalise
capitalized	capitalised
capitalizes	capitalises
capitalizing	capitalising
caponize	caponise
caponized	caponised
caponizes	caponises
caponizing	caponising
capsulize	capsulise
capsulized	capsulised
capsulizes	capsulises
capsulizing	capsulising
caramelization	caramelisation
caramelization's	caramelisation's
caramelizations	caramelisations
caramelize	caramelise
caramelized	caramelised
caramelizes	caramelises
caramelizing	caramelising
carbonization	carbonisation
carbonization's	carbonisation's
carbonizations	carbonisations
carbonize	carbonise
carbonized	carbonised
carbonizes	carbonises
carbonizing	carbonising
caroled	carolled
caroler	caroller
caroler's	caroller's
carolers	carollers
caroling	carolling
cartelize	cartelise
cartelized	cartelised
cartelizes	cartelises
cartelizing	cartelising
catalog	catalogue
catalog's	catalogue's
cataloged	catalogued
cataloger	cataloguer
cataloger's	cataloguer's
catalogers	cataloguers
cataloging	cataloguing
catalogs	catalogues
catalyze	catalyse
catalyzed	catalysed
catalyzes	catalyses
catalyzing	catalysing
catechize	catechise
catechized	catechised
catechizer	catechiser
catechizer's	catechiser's
catechizers	catechisers
catechizes	catechises
catechizing	catechising
catechizings	catechisings
categorization	categorisation
categorization's	categorisation's
categorizations	categorisations
categorize	categorise
categorized	categorised
categorizes	categorises
categorizing	categorising
catheterize	catheterise
catheterized	catheterised
catheterizes	catheterises
catheterizing	catheterising
cauterization	cauterisation
cauterization's	cauterisation's
cauterizations	cauterisations
cauterize	cauterise
cauterized	cauterised
cauterizes	cauterises
cauterizing	cauterising
caviled	cavilled
caviler	caviller
caviler's	caviller's
cavilers	cavillers
caviling	cavilling
cavilings	cavillings
celom	coelom
celom's	coelom's
celoms	coeloms
cenobite	coenobite
cenobite's	coenobite's
cenobites	coenobites
cenobitic	coenobitic
cenobitical	coenobitical
center	centre
center's	centre's
centerboard	centreboard
centerboard's	centreboard's
centerboards	centreboards
centered	centred
centerfold	centrefold
centerfold's	centrefold's
centerfolds	centrefolds
centering	centring
centering's	centring's
centerings	centrings
centerpiece	centrepiece
centerpiece's	centrepiece's
centerpieces	centrepieces
centers	centres
centiliter	centilitre
centiliter's	centilitre's
centiliters	centilitres
centimeter	centimetre
centimeter's	centimetre's
centimeters	centimetres
centralization	centralisation
centralization's	centralisation's
centralizations	centralisations
centralize	centralise
centralized	centralised
centralizes	centralises
centralizing	centralising
cesium	caesium
cesium's	caesium's
cesiums	caesiums
cesural	caesural
channeled	channelled
channeling	channelling
channelize	channelise
channelized	channelised
channelizes	channelises
channelizing	channelising
chaperon	chaperone
chaperon's	chaperone's
chaperons	chaperones
characterization	characterisation
characterization's	characterisation's
characterizations	characterisations
characterize	characterise
characterized	characterised
characterizes	characterises
characterizing	characterising
checkbook	chequebook
checkbook's	chequebook's
checkbooks	chequebooks
checkerboard	chequerboard
checkerboard's	chequerboard's
checkerboards	chequerboards
checkered	chequered
checkering	chequering
chili	chilli
chili's	chilli's
chilies	chillies
chiseled	chiselled
chiseler	chiseller
chiseler's	chiseller's
chiselers	chisellers
chiseling	chiselling
chocolaty	chocolatey
christianization	christianisation
christianizations	christianisations
christianize	christianise
christianized	christianised
christianizes	christianises
christianizing	christianising
cicatrize	cicatrise
cicatrized	cicatrised
cicatrizes	cicatrises
cicatrizing	cicatrising
civilization	civilisation
civilization's	civilisation's
civilizations	civilisations
civilize	civilise
civilized	civilised
civilizer	civiliser
civilizer's	civiliser's
civilizers	civilisers
civilizes	civilises
civilizing	civilising
clamor	clamour
clamor's	clamour's
clamored	clamoured
clamoring	clamouring
clamors	clamours
clangor	clangour
clangor's	clangour's
clangored	clangoured
clangoring	clangouring
clangors	clangours
clarinetist	clarinettist
clarinetist's	clarinettist's
clarinetists	clarinettists
classicize	classicise
classicized	classicised
classicizes	classicises
classicizing	classicising
cognizable	cognisable
cognizabler	cognisabler
cognizablest	cognisablest
cognizance	cognisance
cognizance's	cognisance's
cognizances	cognisances
cognizant	cognisant
cognizanter	cognisanter
cognizantest	cognisantest
collectible	collectable
collectible's	collectable's
collectibles	collectables
collectivization	collectivisation
collectivization's	collectivisation's
collectivizations	collectivisations
collectivize	collectivise
collectivized	collectivised
collectivizes	collectivises
collectivizing	collectivising
colonization	colonisation
colonization's	colonisation's
colonizations	colonisations
colonize	colonise
colonized	colonised
colonizer	coloniser
colonizer's	coloniser's
colonizers	colonisers
colonizes	colonises
colonizing	colonising
color	colour
color's	colour's
colorable	colourable
colorable's	colourable's
colorabler	colourabler
colorables	colourables
colorablest	colourablest
colorant	colourant
colorant's	colourant's
colorants	colourants
colored	coloured
colored's	coloured's
coloreds	coloureds
colorer	colourer
colorer's	colourer's
colorers	colourers
colorful	colourful
colorfuler	colourfuler
colorfulest	colourfulest
colorfullier	colourfullier
colorfulliest	colourfulliest
colorfully	colourfully
colorfulness	colourfulness
colorfulness's	colourfulness's
colorfulnesses	colourfulnesses
coloring	colouring
coloring's	colouring's
colorings	colourings
colorist	colourist
colorist's	colourist's
colorists	colourists
colorless	colourless
colorlesser	colourlesser
colorlessest	colourlessest
colorlesslier	colourlesslier
colorlessliest	colourlessliest
colorlessly	colourlessly
colorrest	colourest
colors	colours
colorway	colourway
colorways	colourways
commercialization	commercialisation
commercialization's	commercialisation's
commercializations	commercialisations
commercialize	commercialise
commercialized	commercialised
commercializes	commercialises
commercializing	commercialising
compartmentalization	compartmentalisation
compartmentalization's	compartmentalisation's
compartmentalizations	compartmentalisations
compartmentalize	compartmentalise
compartmentalized	compartmentalised
compartmentalizes	compartmentalises
compartmentalizing	compartmentalising
computerization	computerisation
computerization's	computerisation's
computerizations	computerisations
computerize	computerise
computerized	computerised
computerizes	computerises
computerizing	computerising
conceptualization	conceptualisation
conceptualization's	conceptualisation's
conceptualizations	conceptualisations
conceptualize	conceptualise
conceptualized	conceptualised
conceptualizes	conceptualises
conceptualizing	conceptualising
concretize	concretise
concretized	concretised
concretizes	concretises
concretizing	concretising
containerization	containerisation
containerization's	containerisation's
containerizations	containerisations
containerize	containerise
containerized	containerised
containerizes	containerises
containerizing	containerising
contextualization	contextualisation
contextualizations	contextualisations
contextualize	contextualise
contextualized	contextualised
contextualizes	contextualises
contextualizing	contextualising
conventionalize	conventionalise
conventionalized	conventionalised
conventionalizes	conventionalises
conventionalizing	conventionalising
copolymerize	copolymerise
copolymerized	copolymerised
copolymerizes	copolymerises
copolymerizing	copolymerising
cosmopolitanize	cosmopolitanise
cosmopolitanized	cosmopolitanised
cosmopolitanizes	cosmopolitanises
cosmopolitanizing	cosmopolitanising
councilor	councillor
councilor's	councillor's
councilors	councillors
councilorship	councillorship
councilorship's	councillorship's
councilorships	councillorships
counseled	counselled
counseling	counselling
counselor	counsellor
counselor's	counsellor's
counselors	counsellors
cozied	cosied
cozier	cosier
cozies	cosies
coziest	cosiest
cozily	cosily
coziness	cosiness
coziness's	cosiness's
cozy	cosy
cozy's	cosy's
cozying	cosying
crenelate	crenellate
crenelated	crenellated
crenelater	crenellater
crenelates	crenellates
crenelatest	crenellatest
crenelating	crenellating
creolize	creolise
creolized	creolised
creolizes	creolises
creolizing	creolising
criminalization	criminalisation
criminalization's	criminalisation's
criminalizations	criminalisations
criminalize	criminalise
criminalized	criminalised
criminalizes	criminalises
criminalizing	criminalising
criticizable	criticisable
criticizable's	criticisable's
criticizabler	criticisabler
criticizables	criticisables
criticizablest	criticisablest
criticize	criticise
criticized	criticised
criticizer	criticiser
criticizer's	criticiser's
criticizers	criticisers
criticizes	criticises
criticizing	criticising
crosier	crozier
crosier's	crozier's
crosiers	croziers
crueler	crueller
cruelest	cruellest
crystallization	crystallisation
crystallization's	crystallisation's
crystallizations	crystallisations
crystallize	crystallise
crystallized	crystallised
crystallizes	crystallises
crystallizing	crystallising
cudgeled	cudgelled
cudgeling	cudgelling
cudgelings	cudgellings
cupelation	cupellation
customization	customisation
customization's	customisation's
customizations	customisations
customize	customise
customized	customised
customizes	customises
customizing	customising
czar	tsar
czar's	tsar's
czars	tsars
decarbonize	decarbonise
decarbonized	decarbonised
decarbonizes	decarbonises
decarbonizing	decarbonising
decentralization	decentralisation
decentralization's	decentralisation's
decentralizations	decentralisations
decentralize	decentralise
decentralized	decentralised
decentralizes	decentralises
decentralizing	decentralising
deciliter	decilitre
deciliter's	decilitre's
deciliters	decilitres
decimalization	decimalisation
decimalization's	decimalisation's
decimalizations	decimalisations
decimalize	decimalise
decimalized	decimalised
decimalizes	decimalises
decimalizing	decimalising
decimeter	decimetre
decimeter's	decimetre's
decimeters	decimetres
decolonization	decolonisation
decolonization's	decolonisation's
decolonizations	decolonisations
decolonize	decolonise
decolonized	decolonised
decolonizes	decolonises
decolonizing	decolonising
decriminalization	decriminalisation
decriminalization's	decriminalisation's
decriminalizations	decriminalisations
decriminalize	decriminalise
decriminalized	decriminalised
decriminalizes	decriminalises
decriminalizing	decriminalising
defense	defence
defense's	defence's
defensed	defenced
defenseless	defenceless
defenselesser	defencelesser
defenselessest	defencelessest
defenselessness	defencelessness
defenselessness's	defencelessness's
defenselessnesses	defencelessnesses
defenses	defences
defensing	defencing
dehumanization	dehumanisation
dehumanization's	dehumanisation's
dehumanizations	dehumanisations
dehumanize	dehumanise
dehumanized	dehumanised
dehumanizes	dehumanises
dehumanizing	dehumanising
deionize	deionise
deionized	deionised
deionizes	deionises
deionizing	deionising
delocalize	delocalise
delocalized	delocalised
delocalizes	delocalises
delocalizing	delocalising
demagnetization	demagnetisation
demagnetization's	demagnetisation's
demagnetizations	demagnetisations
demagnetize	demagnetise
demagnetized	demagnetised
demagnetizer	demagnetiser
demagnetizer's	demagnetiser's
demagnetizers	demagnetisers
demagnetizes	demagnetises
demagnetizing	demagnetising
dematerialize	dematerialise
dematerialized	dematerialised
dematerializes	dematerialises
dematerializing	dematerialising
demeanor	demeanour
demeanor's	demeanour's
demeanors	demeanours
demilitarization	demilitarisation
demilitarization's	demilitarisation's
demilitarizations	demilitarisations
demilitarize	demilitarise
demilitarized	demilitarised
demilitarizes	demilitarises
demilitarizing	demilitarising
demineralization	demineralisation
demineralization's	demineralisation's
demineralizations	demineralisations
demineralize	demineralise
demineralized	demineralised
demineralizes	demineralises
demineralizing	demineralising
demobilization	demobilisation
demobilization's	demobilisation's
demobilizations	demobilisations
demobilize	demobilise
demobilized	demobilised
demobilizes	demobilises
demobilizing	demobilising
democratization	democratisation
democratization's	democratisation's
democratizations	democratisations
democratize	democratise
democratized	democratised
democratizes	democratises
democratizing	democratising
demonetization	demonetisation
demonetization's	demonetisation's
demonetizations	demonetisations
demonetize	demonetise
demonetized	demonetised
demonetizes	demonetises
demonetizing	demonetising
demonization	demonisation
demonize	demonise
demonized	demonised
demonizes	demonises
demonizing	demonising
demoralization	demoralisation
demoralization's	demoralisation's
demoralizations	demoralisations
demoralize	demoralise
demoralized	demoralised
demoralizes	demoralises
demoralizing	demoralising
demythologize	demythologise
demythologized	demythologised
demythologizes	demythologises
demythologizing	demythologising
denationalization	denationalisation
denationalization's	denationalisation's
denationalizations	denationalisations
denationalize	denationalise
denationalized	denationalised
denationalizes	denationalises
denationalizing	denationalising
denaturalize	denaturalise
denaturalized	denaturalised
denaturalizes	denaturalises
denaturalizing	denaturalising
dentin	dentine
dentin's	dentine's
dentins	dentines
denuclearize	denuclearise
denuclearized	denuclearised
denuclearizes	denuclearises
denuclearizing	denuclearising
deodorization	deodorisation
deodorization's	deodorisation's
deodorizations	deodorisations
deodorize	deodorise
deodorized	deodorised
deodorizer	deodoriser
deodorizer's	deodoriser's
deodorizers	deodorisers
deodorizes	deodorises
deodorizing	deodorising
departmentalization	departmentalisation
departmentalization's	departmentalisation's
departmentalizations	departmentalisations
departmentalize	departmentalise
departmentalized	departmentalised
departmentalizes	departmentalises
departmentalizing	departmentalising
dependent's	dependant's
dependents	dependants
depersonalization	depersonalisation
depersonalization's	depersonalisation's
depersonalizations	depersonalisations
depersonalize	depersonalise
depersonalized	depersonalised
depersonalizes	depersonalises
depersonalizing	depersonalising
depolarization	depolarisation
depolarization's	depolarisation's
depolarizations	depolarisations
depolarize	depolarise
depolarized	depolarised
depolarizes	depolarises
depolarizing	depolarising
depoliticization	depoliticisation
depoliticize	depoliticise
depoliticized	depoliticised
depoliticizes	depoliticises
depoliticizing	depoliticising
depolymerize	depolymerise
depolymerized	depolymerised
depolymerizes	depolymerises
depolymerizing	depolymerising
depressurization	depressurisation
depressurization's	depressurisation's
depressurizations	depressurisations
depressurize	depressurise
depressurized	depressurised
depressurizes	depressurises
depressurizing	depressurising
deputize	deputise
deputized	deputised
deputizes	deputises
deputizing	deputising
desalinization	desalinisation
desalinization's	desalinisation's
desalinizations	desalinisations
desalinize	desalinise
desalinized	desalinised
desalinizes	desalinises
desalinizing	desalinising
desensitization	desensitisation
desensitization's	desensitisation's
desensitizations	desensitisations
desensitize	desensitise
desensitized	desensitised
desensitizer	desensitiser
desensitizer's	desensitiser's
desensitizers	desensitisers
desensitizes	desensitises
desensitizing	desensitising
desexualize	desexualise
desexualized	desexualised
desexualizes	desexualises
desexualizing	desexualising
destabilization	destabilisation
destabilize	destabilise
destabilized	destabilised
destabilizes	destabilises
destabilizing	destabilising
desulfurize	desulphurise
desulfurized	desulphurised
desulfurizes	desulphurises
desulfurizing	desulphurising
detribalize	detribalise
detribalized	detribalised
detribalizes	detribalises
detribalizing	detribalising
deviled	devilled
deviling	devilling
devitalize	devitalise
devitalized	devitalised
devitalizes	devitalises
devitalizing	devitalising
dialed	dialled
dialing	dialling
dialing's	dialling's
dialings	diallings
dialyze	dialyse
dialyzed	dialysed
dialyzes	dialyses
dialyzing	dialysing
diarrhea	diarrhoea
diarrhea's	diarrhoea's
diarrheal	diarrhoeal
diarrhealer	diarrhoealer
diarrhealest	diarrhoealest
diarrheas	diarrhoeas
dichotomize	dichotomise
dichotomized	dichotomised
dichotomizes	dichotomises
dichotomizing	dichotomising
digitalize	digitalise
digitalized	digitalised
digitalizes	digitalises
digitalizing	digitalising
digitization	digitisation
digitization's	digitisation's
digitizations	digitisations
digitize	digitise
digitized	digitised
digitizer	digitiser
digitizer's	digitiser's
digitizers	digitisers
digitizes	digitises
digitizing	digitising
dike	dyke
dike's	dyke's
diked	dyked
dikes	dykes
diking	dyking
diopter	dioptre
diopter's	dioptre's
diopters	dioptres
diphthongize	diphthongise
diphthongized	diphthongised
diphthongizes	diphthongises
diphthongizing	diphthongising
discolor	discolour
discolor's	discolour's
discolored	discoloured
discolored's	discoloured's
discoloreds	discoloureds
discoloring	discolouring
discolors	discolours
disemboweled	disembowelled
disemboweling	disembowelling
disfavor	disfavour
disfavor's	disfavour's
disfavored	disfavoured
disfavoring	disfavouring
disfavors	disfavours
disheveled	dishevelled
disheveling	dishevelling
dishonor	dishonour
dishonor's	dishonour's
dishonorable	dishonourable
dishonorable's	dishonourable's
dishonorabler	dishonourabler
dishonorables	dishonourables
dishonorablest	dishonourablest
dishonorablier	dishonourablier
dishonorablies	dishonourablies
dishonorabliest	dishonourabliest
dishonorably	dishonourably
dishonored	dishonoured
dishonoring	dishonouring
dishonors	dishonours
disorganization	disorganisation
disorganization's	disorganisation's
disorganizations	disorganisations
disorganize	disorganise
disorganized	disorganised
disorganizes	disorganises
disorganizing	disorganising
distill	distil
distills	distils
divinize	divinise
divinized	divinised
divinizes	divinises
divinizing	divinising
dogmatize	dogmatise
dogmatized	dogmatised
dogmatizes	dogmatises
dogmatizing	dogmatising
dolor	dolour
dolor's	dolour's
dolors	dolours
downdraft	downdraught
downdraft's	downdraught's
draftier	draughtier
draftiest	draughtiest
draftilier	draughtilier
draftiliest	draughtiliest
draftily	draughtily
draftiness	draughtiness
draftiness's	draughtiness's
draftinesses	draughtinesses
draftsman	draughtsman
draftsman's	draughtsman's
draftsmanship	draughtsmanship
draftsmanship's	draughtsmanship's
draftsmanships	draughtsmanships
draftsmen	draughtsmen
draftswoman	draughtswoman
draftswoman's	draughtswoman's
draftswomen	draughtswomen
drafty	draughty
dramatization	dramatisation
dramatization's	dramatisation's
dramatizations	dramatisations
dramatize	dramatise
dramatized	dramatised
dramatizes	dramatises
dramatizing	dramatising
driveled	drivelled
driveler	driveller
driveler's	driveller's
drivelers	drivellers
driveling	drivelling
dryly	drily
dueled	duelled
dueler	dueller
dueler's	dueller's
duelers	duellers
dueling	duelling
duelings	duellings
duelist	duellist
duelist's	duellist's
duelists	duellists
dyspnea	dyspnoea
dyspnea's	dyspnoea's
dyspneas	dyspnoeas
economize	economise
economized	economised
economizer	economiser
economizer's	economiser's
economizers	economisers
economizes	economises
economizing	economising
edema	oedema
edema's	oedema's
edemas	oedemas
edematous	oedematous
editorialize	editorialise
editorialized	editorialised
editorializes	editorialises
editorializing	editorialising
elegize	elegise
elegized	elegised
elegizes	elegises
elegizing	elegising
emblematize	emblematise
emblematized	emblematised
emblematizes	emblematises
emblematizing	emblematising
emotionalize	emotionalise
emotionalized	emotionalised
emotionalizes	emotionalises
emotionalizing	emotionalising
empathize	empathise
empathized	empathised
empathizes	empathises
empathizing	empathising
emphasize	emphasise
emphasized	emphasised
emphasizes	emphasises
emphasizing	emphasising
enameled	enamelled
enameler	enameller
enameler's	enameller's
enamelers	enamellers
enameling	enamelling
enamelings	enamellings
enamor	enamour
enamor's	enamour's
enamored	enamoured
enamored's	enamoured's
enamoreds	enamoureds
enamoring	enamouring
enamors	enamours
endeavor	endeavour
endeavor's	endeavour's
endeavored	endeavoured
endeavoring	endeavouring
endeavors	endeavours
energize	energise
energized	energised
energizes	energises
energizing	energising
enologist	oenologist
enologists	oenologists
enroll	enrol
enrollment	enrolment
enrollment's	enrolment's
